id,created_at,placed_at,paid_at,value,status,order_details,account_number,account_external_ref,account_name,account_contact
aff4e4b5-1f97-4368-9574-9a296990c79d,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,9694967,paid,"6xMC30C,5xMC-SC,2xViscountClass",6493,c080c41230c5c7a5068ec6530d55b93c,Count Dooku,count_dooku@dooku.com
737c87a1-6833-4122-a183-ffea8bfb2ecb,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,3395506,paid,"12xMC30C,6xMC-SC,2xViscountClass",4028,0323be84b303e08af65040494e438965,Greedo,greedo@greedo.com
1230e958-6e70-4cbe-a26e-56332d659b42,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,5419101,paid,"9xMC30C,2xMC-SC,2xViscountClass",6435,f8fba58bc847fafd055881ecb797206c,Rune Haako,rune_haako@haako.com
f9994c37-b0f2-4fe0-bfd4-f7379dc351bf,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,3685055,paid,"8xMC30C,2xMC-SC,2xViscountClass",4157,7f102fbc335d75f374e7095b9c28fe86,Darth Caedus,darth_caedus@caedus.com
dd58ac43-2891-413e-8f7e-e022a20eab13,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,3083985,paid,"10xMC30C,3xMC-SC,2xViscountClass",5708,7a9e330426deb67024dd56a7a6254b29,Darth Vader,darth_vader@vader.com
bd308835-1485-455a-8d5c-fe8e4fd29b9b,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,2446142,paid,"8xMC30C,5xMC-SC,1xViscountClass",6415,3cdb29107c5ee898c42f469e65220bbc,Finn,finn@finn.com
37d21a94-6622-40d2-838a-ce2bcb66e34f,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,1155882,paid,"6xMC30C,3xMC-SC,2xViscountClass",4189,54987610a9453300ad8fa9c118437e0f,Chirrut Imwe,chirrut_imwe@imwe.com
4d391033-683a-47f7-a809-3c860d3f2320,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,3337061,paid,"12xMC30C,5xMC-SC,1xViscountClass",5750,79faf9a441e5e2865bb1e82577dda985,Greedo,greedo@greedo.com
cd62d24d-f10e-48d2-8ffb-e1f290f049c7,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,5708374,paid,"9xMC30C,2xMC-SC,2xViscountClass",5939,6b825e768e718a4c99f272cb1ba5a05f,Padme Amidala,padme_amidala@amidala.com
4d46ec4d-c543-4e41-bb0c-5279338a1be2,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,6946194,paid,"12xMC30C,5xMC-SC,1xViscountClass",5758,73af7c72608f2b0c25e94163471905a1,Lyra Erso,lyra_erso@erso.com
45912d9e-bb2a-4135-a52c-f76fa5171890,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,8369462,paid,"7xMC30C,5xMC-SC,1xViscountClass",5143,3b9b1b68328bee3279f614b9e14cb4fb,Lyra Erso,lyra_erso@erso.com
81ac5d90-c566-4210-8181-a26744d1f604,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,6915809,paid,"9xMC30C,6xMC-SC,2xViscountClass",4592,e273212d4a3e3c22de6b4ce4833e3a35,Chirrut Imwe,chirrut_imwe@imwe.com
3e77d1ea-07c4-4477-9cdd-833d4d6bbc8c,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,298958,paid,"8xMC30C,4xMC-SC,1xViscountClass",6056,b371372fa2fcd6dfaab0e9256ef1c825,Bendu,bendu@bendu.com
c20a15de-224c-44bf-9067-3d07c9d0924d,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,1748331,paid,"10xMC30C,3xMC-SC,2xViscountClass",4583,d37c5356d6e8df19bbaedfd0507daedd,Vice Admiral Holdo,vice_admiral_holdo@holdo.com
6dfc099f-eabf-4a34-ab9d-c952138c5b5d,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,4719412,paid,"10xMC30C,6xMC-SC,2xViscountClass",5863,6beab565011e0e71a4257edd66c7c6a1,Watto,watto@watto.com
6dfc099f-eabf-4a34-ab9d-c952138c5b5d,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,3502605,partial_refund,"10xMC30C,6xMC-SC,2xViscountClass",5863,6beab565011e0e71a4257edd66c7c6a1,Watto,watto@watto.com
1f77ef58-5742-406b-a054-ce874d649f96,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,4749734,paid,"7xMC30C,4xMC-SC,1xViscountClass",4281,0724b9fee59ee6978f5ad49a636fc188,Rose Tico,rose_tico@tico.com
9b362f30-53e5-4177-a1ca-5b22b8a98e0f,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,5921046,paid,"7xMC30C,5xMC-SC,2xViscountClass",6467,1a3aa8804b18b96376622527a07c27ab,Qui-Gon Jinn,quigon_jinn@jinn.com
35879d87-e396-4c83-bee3-16aff0a25998,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,9410927,paid,"6xMC30C,6xMC-SC,2xViscountClass",4599,bc402b6e71ffe9fa9833fcf3652fd1ea,Luke Skywalker,luke_skywalker@skywalker.com
d911ab51-c12f-4dfb-8652-76635827b298,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,2941840,paid,"7xMC30C,6xMC-SC,2xViscountClass",3793,2d645e420ac98ffb2fa58557675700ba,Ben Solo,ben_solo@solo.com
dc594d96-a494-4cd1-9814-395d34eb7c50,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,208522,paid,"8xMC30C,4xMC-SC,2xViscountClass",4284,aea03ec885992ef1c238e47f2961c967,Jabba the Hutt,jabba_the_hutt@hutt.com
ae16992e-a693-4946-9a49-ee79c90583ce,2022-02-22 05:37:29 -0500,2022-02-22 05:55:42 -0500,2022-02-22 05:55:42 -0500,1964973,paid,"11xMC30C,5xMC-SC,2xViscountClass",3369,b778e304b4179c189c9b0214ddf589fc,Mon Mothma,mon_mothma@mothma.com
